"","m","n1","n2","mean","median","max","min"
"35",5,10,270,0.540581162324649,0.531062124248497,0.605210420841683,0.482965931863727
"36",5,20,5,0.546235327798454,0.544088176352705,0.603206412825651,0.496993987975952
"37",5,20,10,0.563484111079301,0.56312625250501,0.655310621242485,0.49498997995992
"38",5,20,20,0.569496135127398,0.574148296593186,0.653306613226453,0.521042084168337
"39",5,20,90,0.557829945605497,0.554108216432866,0.64128256513026,0.496993987975952
"40",5,20,270,0.571929573432579,0.564128256513026,0.6312625250501,0.519038076152305
"41",5,90,5,0.547022616661895,0.552104208416834,0.603206412825651,0.482965931863727
"42",5,90,10,0.53134841110793,0.537074148296593,0.597194388777555,0.474949899799599
"43",5,90,20,0.5133839106785,0.513026052104208,0.585170340681363,0.414829659318637
"44",5,90,90,0.525193243630117,0.519038076152305,0.589178356713427,0.468937875751503
"45",5,90,270,0.509375894646436,0.520040080160321,0.605210420841683,0.438877755511022
"46",5,270,5,0.482965931863727,0.478957915831663,0.533066132264529,0.438877755511022
"47",5,270,10,0.477884340108789,0.472945891783567,0.543086172344689,0.42685370741483
"48",5,270,20,0.481105067277412,0.476953907815631,0.539078156312625,0.422845691382766
"49",5,270,90,0.475450901803607,0.465931863727455,0.541082164328657,0.434869739478958
"50",5,270,270,0.469796736329802,0.467935871743487,0.533066132264529,0.416833667334669
"51",10,5,5,0.575043377674957,0.574898785425101,0.643724696356275,0.502024291497976
"52",10,5,10,0.57526026604974,0.577935222672065,0.637651821862348,0.5
"53",10,5,20,0.579308849045691,0.57995951417004,0.647773279352227,0.506072874493927
"54",10,5,90,0.5655002891845,0.564777327935223,0.6417004048583,0.48582995951417
"55",10,5,270,0.56991035280509,0.573886639676113,0.621457489878543,0.506072874493927
"56",10,10,5,0.575766338924234,0.572874493927126,0.635627530364372,0.506072874493927
"57",10,10,10,0.573163678426836,0.574898785425101,0.653846153846154,0.483805668016194
"58",10,10,20,0.574826489300174,0.578947368421053,0.6417004048583,0.463562753036437
"59",10,10,90,0.567018507807981,0.566801619433198,0.651821862348178,0.481781376518219
"60",10,10,270,0.568970503181029,0.558704453441296,0.635627530364372,0.5
"61",10,20,5,0.585887796414112,0.586032388663968,0.6417004048583,0.532388663967611
"62",10,20,10,0.584658762290341,0.584008097165992,0.659919028340081,0.508097165991903
"63",10,20,20,0.587767495662233,0.582995951417004,0.665991902834008,0.522267206477733
"64",10,20,90,0.581983805668016,0.584008097165992,0.651821862348178,0.512145748987854
"65",10,20,270,0.581116252168884,0.575910931174089,0.645748987854251,0.504048582995951
"66",10,90,5,0.562825332562175,0.55668016194332,0.651821862348178,0.48582995951417
"67",10,90,10,0.532244071717756,0.520242914979757,0.611336032388664,0.461538461538462
"68",10,90,20,0.507591093117409,0.510121457489878,0.59919028340081,0.427125506072874
"69",10,90,90,0.548149219201851,0.540485829959514,0.639676113360324,0.461538461538462
"70",10,90,270,0.51323019086177,0.527327935222672,0.629554655870445,0.37246963562753
"71",10,270,5,0.472310584152689,0.464574898785425,0.564777327935223,0.41497975708502
"72",10,270,10,0.473033545401966,0.463562753036437,0.564777327935223,0.404858299595142
"73",10,270,20,0.476142278773858,0.473684210526316,0.57085020242915,0.419028340080972
"74",10,270,90,0.470286292654714,0.469635627530364,0.548582995951417,0.406882591093117
"75",10,270,270,0.466599190283401,0.461538461538462,0.566801619433198,0.380566801619433
"76",20,5,5,0.620498819362456,0.608471074380165,0.725206611570248,0.533057851239669
"77",20,5,10,0.622048406139315,0.615702479338843,0.735537190082645,0.537190082644628
"78",20,5,20,0.62116292798111,0.612603305785124,0.725206611570248,0.520661157024793
"79",20,5,90,0.614300472255018,0.616735537190083,0.731404958677686,0.514462809917355
"80",20,5,270,0.610315820543093,0.603305785123967,0.708677685950413,0.535123966942149
"81",20,10,5,0.624557260920897,0.610537190082645,0.725206611570248,0.539256198347107
"82",20,10,10,0.621753246753247,0.608471074380165,0.708677685950413,0.551652892561983
"83",20,10,20,0.621458087367178,0.601239669421488,0.721074380165289,0.533057851239669
"84",20,10,90,0.612603305785124,0.605371900826446,0.692148760330578,0.547520661157025
"85",20,10,270,0.61297225501771,0.606404958677686,0.71900826446281,0.539256198347107
"86",20,20,5,0.630534238488784,0.614669421487603,0.737603305785124,0.539256198347107
"87",20,20,10,0.631419716646989,0.617768595041322,0.714876033057851,0.549586776859504
"88",20,20,20,0.635920897284534,0.625,0.743801652892562,0.555785123966942
"89",20,20,90,0.618137544273908,0.639462809917355,0.704545454545455,0.475206611570248
"90",20,20,270,0.617473435655254,0.616735537190083,0.747933884297521,0.520661157024793
"91",20,90,5,0.61297225501771,0.615702479338843,0.685950413223141,0.512396694214876
"92",20,90,10,0.595262691853601,0.596074380165289,0.671487603305785,0.483471074380165
"93",20,90,20,0.617399645808737,0.630165289256198,0.698347107438017,0.526859504132231
"94",20,90,90,0.589359504132231,0.575413223140496,0.731404958677686,0.464876033057851
"95",20,90,270,0.536525974025974,0.543388429752066,0.665289256198347,0.392561983471074
"96",20,270,5,0.472402597402597,0.462809917355372,0.59297520661157,0.37396694214876
"97",20,270,10,0.471886068476978,0.464876033057851,0.586776859504132,0.378099173553719
"98",20,270,20,0.478896103896104,0.46900826446281,0.599173553719008,0.388429752066116
"99",20,270,90,0.454766824085006,0.455578512396694,0.522727272727273,0.37396694214876
"100",20,270,270,0.462293388429752,0.454545454545455,0.590909090909091,0.363636363636364
"101",90,5,5,0.777087646652864,0.797101449275362,0.944444444444444,0.504830917874396
"102",90,5,10,0.777260179434092,0.800724637681159,0.949275362318841,0.504830917874396
"103",90,5,20,0.768461007591442,0.786231884057971,0.942028985507246,0.490338164251208
