"","m","n1","n2","mean","median","max","min"
"26",5,5,5,0.50837389063842,0.508016032064128,0.55310621242485,0.460921843687375
"27",5,5,10,0.513670197537933,0.51002004008016,0.599198396793587,0.468937875751503
"28",5,5,20,0.516676209561981,0.513026052104208,0.559118236472946,0.476953907815631
"29",5,5,90,0.509876896650444,0.514028056112224,0.551102204408818,0.464929859719439
"30",5,5,270,0.513026052104208,0.513026052104208,0.593186372745491,0.454909819639279
"31",5,10,5,0.511523046092184,0.512024048096192,0.575150300601202,0.452905811623247
"32",5,10,10,0.501789292871457,0.507014028056112,0.56312625250501,0.448897795591182
"33",5,10,20,0.506870884626396,0.506012024048096,0.561122244488978,0.462925851703407
"34",5,10,90,0.50586888061838,0.506012024048096,0.557114228456914,0.466933867735471
"35",5,10,270,0.495347838534211,0.493987975951904,0.539078156312625,0.444889779559118
"36",5,20,5,0.498425422273118,0.501002004008016,0.539078156312625,0.450901803607214
"37",5,20,10,0.497566561694818,0.498997995991984,0.531062124248497,0.466933867735471
"38",5,20,20,0.502147151445749,0.504008016032064,0.541082164328657,0.430861723446894
"39",5,20,90,0.503793300887489,0.51002004008016,0.555110220440882,0.43687374749499
"40",5,20,270,0.514815344975666,0.517034068136273,0.585170340681363,0.430861723446894
"41",5,90,5,0.491554537646722,0.493987975951904,0.531062124248497,0.44689378757515
"42",5,90,10,0.491554537646722,0.490981963927856,0.541082164328657,0.44689378757515
"43",5,90,20,0.493057543658746,0.49498997995992,0.539078156312625,0.452905811623247
"44",5,90,90,0.49663612940166,0.504008016032064,0.533066132264529,0.412825651302605
"45",5,90,270,0.471442885771543,0.473947895791583,0.525050100200401,0.416833667334669
"46",5,270,5,0.488977955911824,0.488977955911824,0.55310621242485,0.416833667334669
"47",5,270,10,0.486687661036358,0.48496993987976,0.533066132264529,0.430861723446894
"48",5,270,20,0.486472945891784,0.481963927855711,0.567134268537074,0.42685370741483
"49",5,270,90,0.474234182651016,0.477955911823647,0.525050100200401,0.394789579158317
"50",5,270,270,0.477884340108789,0.476953907815631,0.537074148296593,0.424849699398798
"51",10,5,5,0.520387507229612,0.516194331983806,0.554655870445344,0.479757085020243
"52",10,5,10,0.522122614227877,0.517206477732793,0.589068825910931,0.483805668016194
"53",10,5,20,0.514386928860613,0.515182186234818,0.59919028340081,0.465587044534413
"54",10,5,90,0.512796414112204,0.51417004048583,0.550607287449393,0.447368421052632
"55",10,5,270,0.511495083863505,0.513157894736842,0.564777327935223,0.465587044534413
"56",10,10,5,0.537521688837478,0.532388663967611,0.609311740890688,0.497975708502024
"57",10,10,10,0.539618276460382,0.541497975708502,0.591093117408907,0.491902834008097
"58",10,10,20,0.537015615962984,0.548582995951417,0.57085020242915,0.461538461538462
"59",10,10,90,0.523857721226142,0.523279352226721,0.572874493927126,0.463562753036437
"60",10,10,270,0.526966454598034,0.529352226720648,0.576923076923077,0.479757085020243
"61",10,20,5,0.49812030075188,0.504048582995951,0.536437246963563,0.451417004048583
"62",10,20,10,0.502241179872759,0.5,0.562753036437247,0.431174089068826
"63",10,20,20,0.507591093117409,0.508097165991903,0.568825910931174,0.453441295546559
"64",10,20,90,0.509326200115674,0.512145748987854,0.572874493927126,0.412955465587045
"65",10,20,270,0.520748987854251,0.522267206477733,0.589068825910931,0.459514170040486
"66",10,90,5,0.50722961249277,0.508097165991903,0.57085020242915,0.435222672064777
"67",10,90,10,0.504265471370735,0.510121457489878,0.580971659919028,0.427125506072874
"68",10,90,20,0.499493927125506,0.5,0.560728744939271,0.447368421052632
"69",10,90,90,0.507301908617698,0.508097165991903,0.546558704453441,0.453441295546559
"70",10,90,270,0.465153267784847,0.47165991902834,0.530364372469636,0.408906882591093
"71",10,270,5,0.484022556390977,0.490890688259109,0.546558704453441,0.419028340080972
"72",10,270,10,0.466526894158473,0.461538461538462,0.526315789473684,0.368421052631579
"73",10,270,20,0.461827646038172,0.464574898785425,0.506072874493927,0.376518218623482
"74",10,270,90,0.498048004626952,0.501012145748988,0.595141700404858,0.423076923076923
"75",10,270,270,0.490673799884326,0.484817813765182,0.611336032388664,0.42914979757085
"76",20,5,5,0.552390791027155,0.552685950413223,0.632231404958678,0.495867768595041
"77",20,5,10,0.539625147579693,0.545454545454545,0.603305785123967,0.483471074380165
"78",20,5,20,0.535123966942149,0.537190082644628,0.584710743801653,0.475206611570248
"79",20,5,90,0.516455135773318,0.518595041322314,0.56198347107438,0.458677685950413
"80",20,5,270,0.521325265643447,0.520661157024793,0.634297520661157,0.415289256198347
"81",20,10,5,0.547520661157025,0.553719008264463,0.599173553719008,0.491735537190083
"82",20,10,10,0.548184769775679,0.543388429752066,0.617768595041322,0.493801652892562
"83",20,10,20,0.547668240850059,0.542355371900826,0.601239669421488,0.497933884297521
"84",20,10,90,0.519259149940968,0.518595041322314,0.568181818181818,0.448347107438017
"85",20,10,270,0.522136953955136,0.522727272727273,0.588842975206612,0.462809917355372
"86",20,20,5,0.522505903187721,0.524793388429752,0.599173553719008,0.442148760330579
"87",20,20,10,0.528556670602125,0.52995867768595,0.586776859504132,0.483471074380165
"88",20,20,20,0.524867178276269,0.52995867768595,0.574380165289256,0.454545454545455
"89",20,20,90,0.530917945690673,0.527892561983471,0.59297520661157,0.475206611570248
"90",20,20,270,0.50538665879575,0.518595041322314,0.611570247933884,0.415289256198347
"91",20,90,5,0.526711924439197,0.53099173553719,0.582644628099174,0.458677685950413
"92",20,90,10,0.509002361275089,0.507231404958678,0.586776859504132,0.444214876033058
"93",20,90,20,0.529146989374262,0.524793388429752,0.617768595041322,0.464876033057851
"94",20,90,90,0.524055489964581,0.524793388429752,0.597107438016529,0.43595041322314
"95",20,90,270,0.461186540731995,0.451446280991736,0.580578512396694,0.355371900826446
"96",20,270,5,0.435729043683589,0.43698347107438,0.528925619834711,0.349173553719008
"97",20,270,10,0.441041912632822,0.43801652892562,0.539256198347107,0.322314049586777
"98",20,270,20,0.440672963400236,0.443181818181818,0.543388429752066,0.37603305785124
"99",20,270,90,0.443993506493506,0.43698347107438,0.557851239669422,0.361570247933884
"100",20,270,270,0.437868949232586,0.428719008264463,0.605371900826446,0.330578512396694
"101",90,5,5,0.605935127674258,0.615942028985507,0.678743961352657,0.524154589371981
"102",90,5,10,0.597739820565907,0.605072463768116,0.693236714975845,0.519323671497585
